Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
MSFT,
,"{'1. open': '98.3000', '2. high': '98.9800', '3. low': '97.8600', '4. close': '98.3600', '5. volume': '18363918'}"
,"{'1. open': '97.8400', '2. high': '98.8800', '3. low': '97.2300', '4. close': '98.0100', '5. volume': '28670981'}"
,"{'1. open': '98.3100', '2. high': '99.2500', '3. low': '97.9100', '4. close': '98.9500', '5. volume': '22158528'}"
,"{'1. open': '99.2900', '2. high': '99.9900', '3. low': '98.6100', '4. close': '98.8400', '5. volume': '34140891'}"
,"{'1. open': '99.2798', '2. high': '100.8600', '3. low': '99.1700', '4. close': '100.7900', '5. volume': '28655624'}"
,"{'1. open': '101.2600', '2. high': '101.8600', '3. low': '100.8510', '4. close': '101.6700', '5. volume': '27281623'}"
,"{'1. open': '102.0000', '2. high': '102.3300', '3. low': '101.5300', '4. close': '102.1900', '5. volume': '23514402'}"
,"{'1. open': '102.4800', '2. high': '102.6000', '3. low': '101.9000', '4. close': '102.4900', '5. volume': '21122917'}"
,"{'1. open': '102.6500', '2. high': '102.6900', '3. low': '100.3800', '4. close': '100.8800', '5. volume': '28232197'}"
,"{'1. open': '101.0924', '2. high': '101.9500', '3. low': '100.5400', '4. close': '101.6300', '5. volume': '22165128'}"
,"{'1. open': '101.3700', '2. high': '101.5900', '3. low': '100.6700', '4. close': '101.0500', '5. volume': '23490894'}"
,"{'1. open': '101.1000', '2. high': '101.4493', '3. low': '100.7500', '4. close': '101.3100', '5. volume': '18325228'}"
,"{'1. open': '101.7200', '2. high': '102.0100', '3. low': '100.5600', '4. close': '100.8500', '5. volume': '29492875'}"
,"{'1. open': '101.6500', '2. high': '102.0300', '3. low': '101.0000', '4. close': '101.4200', '5. volume': '25691811'}"
,"{'1. open': '101.5100', '2. high': '101.5300', '3. low': '100.0700', '4. close': '100.1300', '5. volume': '65738585'}"
,"{'1. open': '100.0100', '2. high': '101.1100', '3. low': '99.4200', '4. close': '100.8600', '5. volume': '23586037'}"
,"{'1. open': '99.6500', '2. high': '101.0000', '3. low': '99.5000', '4. close': '100.8600', '5. volume': '28653087'}"
,"{'1. open': '101.3700', '2. high': '102.5200', '3. low': '101.1200', '4. close': '101.8700', '5. volume': '26180792'}"
,"{'1. open': '102.0750', '2. high': '102.4600', '3. low': '100.8800', '4. close': '101.1400', '5. volume': '23198188'}"
,"{'1. open': '100.4100', '2. high': '100.7700', '3. low': '99.6250', '4. close': '100.4100', '5. volume': '38923105'}"
,"{'1. open': '100.0000', '2. high': '100.1100', '3. low': '97.3000', '4. close': '98.3900', '5. volume': '35433333'}"
,"{'1. open': '98.8200', '2. high': '100.0800', '3. low': '98.7500', '4. close': '99.0800', '5. volume': '26897244'}"
,"{'1. open': '99.5800', '2. high': '100.0200', '3. low': '97.4000', '4. close': '97.5400', '5. volume': '31298386'}"
,"{'1. open': '97.3800', '2. high': '99.1100', '3. low': '97.2600', '4. close': '98.6300', '5. volume': '26650671'}"
